建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大直美堤花園,台北市中山區敬業三路162巷100號,63.7,22,15,0.3217410335354163,0.1831870290754292,355.0
春暉新世界,台北市中山區林森北路413號,50.1,45,9,0.3587673265061129,0.2483050182229683,2013.0
西華富邦,台北市中山區植福路286巷26號,218.0,8,14,0.3068851368596526,0.2428876838647694,430.0
I-MORE新生代,台北市中山區林森北路479號,74.0,20,9,0.2578458804348547,0.1115894822558894,1749.0
皇宮大樓,台北市中山區新生北路三段37號,61.3,45,11,0.2382808045687871,0.1063017391062054,1163.0
安家TAKUMI,台北市中山區建國北路三段71號,87.6,7,16,0.7061775132635948,0.4890878093293215,785.0
中山官邸,台北市中山區民權東路一段15號,85.7,7,10,0.2064391696473095,0.3056799569261545,1513.0
基泰璀璨Sweet,台北市中山區市民大道三段169號,63.4,14,8,0.7578108095864151,0.129016007662729,1896.0
中山凱宴,台北市中山區新生北路二段68巷8號,93.9,6,10,0.5052891738214231,0.3532100826288934,2497.0
新欣大廈,台北市中山區林森北路261號,65.0,40,8,0.9821280405408046,0.3677242468275454,2418.0
台北一號院,台北市中山區新生北路二段7號,94.4,8,9,1.0334346093792195,0.1384637108978635,2467.0
琢豐,台北市中山區松江路118號,154.7,1,9,0.5453113960275449,0.2449118144234776,2140.0
羅馬花園廣場大廈,台北市中山區新生北路一段90號,70.7,34,7,0.9898777974220256,0.2350705255471716,2092.0
遠雄富都,台北市中山區中山北路二段120號,98.6,10,7,0.2794284540165772,0.3787528568696284,1705.0
金磚密碼,台北市中山區雙城街19巷2號,83.6,15,11,0.1601112679600895,0.1851352017255674,1227.0
中山雋,台北市中山區中山北路二段65巷7號,113.7,5,11,0.2005053402269518,0.5964110848230098,2153.0
禾碩榮星,台北市中山區五常街31號,92.8,7,15,0.7751375498714589,0.3544369080136598,826.0
大直寧境香榭,台北市中山區明水路561號,98.7,28,17,0.4876452111401115,0.2571572110316358,422.0
中山極上,台北市中山區林森北路556號,109.9,18,11,0.0467331935804103,0.0120943352356058,1393.0
中山民權大樓,台北市中山區民權西路20號,63.8,45,8,0.3920791264218945,0.3211373916817279,1594.0
帝景水花園,台北市中山區基湖路157巷1號,164.6,22,12,0.738158299127176,0.2441303826611296,403.0
禮敬大樓,台北市中山區復興北路452號,89.5,14,16,0.8956260134279285,0.1272084093529219,632.0
興洋摩宿,台北市中山區新生北路二段76號,76.6,14,9,0.5101308038708079,0.3789334843950201,2460.0
中山世紀大廈,台北市中山區中山北路二段123號,133.4,7,11,0.2772815142965573,0.3355472506340268,1714.0
基泰之星,台北市中山區農安街8號,75.1,13,9,0.241844239120479,0.2299320029981004,1277.0
和益金銀大樓,台北市中山區林森北路339巷3號,48.1,40,8,0.4149612123503827,0.4455624822669832,2396.0
新東京宅Midtown,台北市中山區南京東路二段106號,97.0,12,10,0.5960876711962262,0.2394490261035487,2116.0
金統一大樓,台北市中山區新生北路三段74號,56.9,41,13,0.2565007821313314,0.3224460627996496,1049.0
亞美達大廈,台北市中山區林森北路416巷1號,57.2,46,9,0.2801597828977164,0.2736305242788708,1976.0
林森觀光大廈,台北市中山區新生北路二段66號,55.8,42,9,0.727123656053982,0.2946278415045907,2525.0
凱莎琳大廈,台北市中山區林森北路103號,55.7,42,10,1.1251788945751602,0.4215536814056899,2569.0
文心花園世界大廈,台北市中山區新生北路一段40號,77.8,34,8,0.9434997706026652,0.3469914090326728,1947.0
國際有約大樓,台北市中山區林森北路121號,82.2,14,9,1.1876422880564268,0.3828098104906908,2588.0
佳昌大廈,台北市中山區林森北路472號,43.8,26,9,0.2644741178164942,0.1361717414498596,1768.0
金山惠安大樓,台北市中山區民生東路一段25號,54.2,43,7,0.2394962949428776,0.4485330095194672,2129.0
梵帝崗,台北市中山區新生北路二段53號,82.6,13,10,0.7006579033994431,0.2226761960224797,2533.0
國賓金大樓,台北市中山區民生東路一段72號,54.9,42,8,0.4319448797557883,0.4570091787868224,2393.0
國賓藝術大廈,台北市中山區中山北路二段59巷41弄1號,86.6,23,9,0.371237912086884,0.5285680733189659,2253.0
鎮金殿,台北市中山區天祥路78號,95.8,18,9,0.4922846620493237,0.2630044172957675,1448.0
泰碁合江街華廈,台北市中山區合江街37號,101.4,5,12,0.3932431593791133,0.1544683427472102,2210.0
民權米勒,台北市中山區民權東路一段46號,93.0,15,10,0.1624107820476903,0.2189567492010746,1585.0
錦新大樓,台北市中山區新生北路二段108號,40.6,36,10,0.4906648101629949,0.3837209105019675,2463.0
台北松江,台北市中山區松江路39號,83.8,25,9,0.7102701321298147,0.3307393483319617,2090.0
華王大廈,台北市中山區長春路100號,67.4,47,9,0.8260970722331442,0.0787085350327912,2527.0
美麗國賓花園廣場,台北市中山區中山北路二段59巷21號,88.2,24,9,0.3468200978838509,0.5486199487172992,2229.0
美麗行館,台北市中山區中山北路一段33巷11號,92.9,15,6,0.8700316067063777,0.4685435736812189,2347.0
圓頂世紀館,台北市中山區南京東路三段48巷36號,120.4,19,11,0.1694144167462119,0.1177323773350224,2236.0
台北京宴,台北市中山區中山北路二段59巷61號,76.3,20,9,0.4151263575209968,0.4674306057289855,2342.0
翡翠花園大廈,台北市中山區林森北路259巷17號,80.0,26,8,0.9289942859010066,0.2663414436666288,2483.0
首都大樓,台北市中山區新生北路三段號,65.9,42,11,0.2967163418826201,0.3586805619631695,1017.0
歐夏蕾大廈,台北市中山區林森北路538號,92.1,17,12,0.0354172151891845,0.0428379794954179,1457.0
AMOUR 2,台北市中山區林森北路450號,73.9,13,9,0.307652743375372,0.1730208957704109,1842.0
震大日光大樓,台北市中山區農安街21號,87.7,19,10,0.1797917570407122,0.2047024293291239,1266.0
彌敦道大廈,台北市中山區新生北路二段68巷5號,81.7,14,10,0.5357712161077048,0.3233679551420753,2516.0
冠德中山,台北市中山區中山北路一段53巷26號,73.8,14,6,0.9234607674236508,0.5361251880131468,2398.0
興安華城,台北市中山區復興北路228號,72.0,36,13,0.2948818238978909,0.4298226440204099,1601.0
大直WINN,台北市中山區北安路789號,96.9,9,15,0.7380445209119709,0.6201118584051887,404.0
長暉大廈,台北市中山區長春路26號,59.8,38,7,1.0244111293538032,0.4865816373718538,2297.0
貝森朵夫,台北市中山區復興北路26號,102.0,11,10,0.385663526716793,0.1726954825086351,2049.0
大直JOJO,台北市中山區敬業二路69巷51號,80.4,15,17,0.4648171848950745,0.5235086198297448,447.0
中山金澤,台北市中山區林森北路524號,86.9,3,10,0.0410130675494821,0.0898613870398035,1546.0
