建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
吉林豪祥華廈,台北市中山區中原街10號,55.5,36,10,0.6395854441726042,0.1927929110622493,2453.0
華山里美,台北市中山區長安東路一段56巷7弄26號,108.2,6,9,0.9506532678077894,0.3057589669047822,2066.0
華園,台北市中山區長安東路一段56巷7弄20號,75.0,4,9,0.9555905527941264,0.2928719498300562,2083.0
昇陽夏朵大廈,台北市中山區合江街55巷11號,80.0,14,13,0.5650505249539648,0.0646238619056223,2113.0
摩登生活家,台北市中山區建國北路三段22巷23號,44.9,30,11,0.4652153900622418,0.6777196413259093,909.0
大直永安公寓,台北市中山區北安路578巷8弄1號,61.3,41,16,0.8146001120354947,0.2234540622650895,390.0
大直紅舍,台北市中山區大直街112號,72.5,39,17,1.0073256580627532,0.1969105842817836,358.0
太子大直新城,台北市中山區大直街84巷1號,55.4,39,18,1.1188389988025762,0.0808999872385482,326.0
廣揚貴族大樓,台北市中山區中山北路一段83巷18號,52.6,28,7,1.0433270389722935,0.5213373436140912,2442.0
長安雅仕,台北市中山區長安東路一段30巷3弄23號,52.5,28,6,0.9055397325316498,0.3573716605573028,2249.0
富台國宅公寓,台北市信義區忠孝東路五段423巷4弄1號,55.1,34,7,1.3137292668191936,0.441396775342654,1085.0
太平洋蒔景,台北市信義區崇德街161號,71.7,4,14,0.7012752899802268,0.4042485418927073,950.0
信義龍門,台北市信義區福德街137巷10弄1號,63.4,40,10,1.1332756940212516,0.2458455051432194,638.0
儒林園,台北市信義區吳興街600巷132號,44.2,34,18,1.0743927912129678,0.9260576499244196,70.0
信義之森,台北市信義區信安街103巷8號,97.6,1,14,0.5204774531939443,0.3239017383094109,986.0
市府捷運大廈,台北市信義區忠孝東路五段33號,82.6,40,7,1.2582649281021836,0.0316191098576479,1118.0
崇德,台北市信義區崇德街31巷8號,63.5,36,14,0.9407035124125632,0.1342685413166307,1150.0
克勤新城,台北市信義區吳興街220巷59弄1號,50.9,33,14,0.1570511456325527,0.0503304997297943,983.0
永吉興雅,台北市信義區永吉路127巷26號,52.3,37,6,1.3373674066634171,0.0438515344374611,1044.0
雅祥富台,台北市信義區忠孝東路五段275巷3號,64.6,34,8,1.329466000220216,0.5539216847575802,1226.0
雅築一品大廈,台北市信義區永吉路278巷27弄2號,77.4,25,6,1.6401594993785968,0.430094535237345,1139.0
山丘小墅,台北市內湖區環山路二段30號,82.5,4,17,1.7560084735910602,0.2775826832926449,493.0
大湖園,台北市內湖區成功路四段324巷2弄19號,48.9,37,16,0.8141487173869872,0.4050610508315715,737.0
文德好境,台北市內湖區陽光街161巷12號之1,83.1,3,14,0.7636235394420682,0.4086845176217845,668.0
書香畫境,台北市內湖區康寧路三段245巷10號,53.4,38,9,1.0558215024913364,0.1061033977719791,457.0
綠大地,台北市內湖區成功路四段294巷21弄1號,48.9,36,16,0.8104860402328642,0.4044760643050355,745.0
富御苑,台北市內湖區康樂街201巷12號,49.3,5,15,1.3273871677367703,0.3771322651975147,164.0
世界新城,台北市內湖區內湖路一段285巷65弄30號,57.3,40,16,1.3118751887327742,0.2798654003379849,486.0
龍之鄉,台北市內湖區東湖路113巷111弄1號,44.0,35,12,0.7205697260085845,0.4295611428109409,450.0
萊茵皇家,台北市內湖區瑞光路112巷56弄31號,69.0,25,12,1.2994836596573816,0.7074750647431752,431.0
至善別墅,台北市內湖區民權東路六段191巷101號,59.1,23,10,0.6523096383485958,0.3844631282932182,173.0
唐苑,台北市內湖區康寧路三段189巷157弄1號,40.6,34,12,0.3613142818692323,0.2512742599678252,465.0
山沺藏,台北市內湖區民權東路六段289巷21號,67.2,1,11,0.8793566681199395,0.41335307973879,205.0
康樂,台北市內湖區康樂街151巷13號,49.8,38,14,1.213639569052395,0.0847406906022597,349.0
新明華廈,台北市內湖區新明路371號,49.9,19,7,1.065596051616083,0.4230528437030655,343.0
聖湖園,台北市內湖區文德路207巷5弄1號,46.1,38,14,0.5174398817972903,0.1348628116534814,930.0
文心十二品,台北市內湖區金龍路13巷26號,72.0,6,16,0.5952791572690191,0.4508995829645167,811.0
碧湖新境,台北市內湖區環山路三段30巷6號,44.0,32,16,1.2044958016189449,0.1623122079947369,438.0
元隆江南,台北市內湖區江南街96巷9號,83.4,6,12,1.551550837332949,0.2431176960432354,641.0
金石名園,台北市內湖區星雲街33巷10號,47.5,35,13,0.3529733766607262,0.1866375762932793,827.0
金華樓南湖,台北市內湖區康寧路三段70巷101號,50.0,33,9,0.9449579751963196,0.1465937887088679,462.0
大直歐洲三期,台北市內湖區文湖街21巷82弄41號,55.8,19,17,1.1936041368432424,0.3883568688570789,241.0
培林花園城,台北市內湖區內湖路一段629巷101弄13號,53.5,38,14,1.3920253210974414,0.1269213319375955,649.0
大湖雙堡,台北市內湖區康寧路三段245巷2號,45.1,27,10,1.0286747955097992,0.0897626221293877,469.0
春之森綠榕區,台北市內湖區金湖路363巷133弄1號,65.5,24,11,0.6090287434848151,0.252587072334114,257.0
三民,台北市內湖區民權東路六段47巷22號,47.4,34,12,0.5505799655837652,0.170329997873405,297.0
三陽柳中園二期,台北市內湖區文德路171巷3弄10號,47.2,35,16,0.6662302743269126,0.2088774727946616,921.0
北大湖,台北市內湖區成功路四段324巷1弄1號,41.7,39,16,0.8864286369124313,0.3563217070652371,705.0
聰明,台北市內湖區潭美街551號,25.4,17,9,1.430599817858014,0.5600109758228428,176.0
國家別墅,台北市內湖區金湖路357號,50.2,23,13,0.7117665158178662,0.1205385656576233,255.0
紅樓,台北市內湖區康寧路三段56巷160號,36.8,33,10,0.9818129414543072,0.2359472003118587,438.0
港墘新城,台北市內湖區港墘路111號,44.4,42,13,1.5084753965022104,0.1676965765691463,652.0
文湖家園,台北市內湖區內湖路一段91巷35弄34號,68.3,39,16,0.9723544177152266,0.1762260460697175,361.0
寶獅湖山園,台北市內湖區麗山街67號,50.3,34,15,1.0605608006870573,0.1651303172418336,589.0
環山狀元城,台北市內湖區環山路二段109巷3弄號,46.4,38,16,1.5543959161796348,0.2103127022224722,624.0
大湖莊園,台北市內湖區大湖山莊街157號,41.9,35,17,1.2335549833972028,0.0644837527874855,264.0
麗山名園,台北市內湖區環山路二段141號,44.1,35,15,1.3764418031281491,0.167915505525253,590.0
宏泰爵座疊翠特區,台北市內湖區瑞光路132巷73號,60.5,26,12,1.4149264692616057,0.8422371009195685,447.0
福祿,台北市內湖區安泰街38巷10號,32.7,35,12,0.9230026408203542,0.2654753474910582,395.0
心園,台北市內湖區民權東路六段193號,44.8,22,10,0.6625637638914054,0.4571115735542719,126.0
